method,noise_pm,step_budget,n_total,n_ever_conv,n_conv_by_step,frac_of_ever_conv,frac_of_total
GAD dt=0.005 (5k),100,50,287,206,0,0.0,0.0
GAD dt=0.005 (5k),100,75,287,206,0,0.0,0.0
GAD dt=0.005 (5k),100,100,287,206,0,0.0,0.0
GAD dt=0.005 (5k),100,150,287,206,1,0.0048543689320388345,0.003484320557491289
GAD dt=0.005 (5k),100,200,287,206,3,0.014563106796116505,0.010452961672473868
GAD dt=0.005 (5k),100,300,287,206,33,0.16019417475728157,0.11498257839721254
GAD dt=0.005 (5k),100,400,287,206,77,0.3737864077669903,0.2682926829268293
GAD dt=0.005 (5k),100,500,287,206,121,0.587378640776699,0.42160278745644597
GAD dt=0.005 (5k),100,700,287,206,170,0.8252427184466019,0.5923344947735192
GAD dt=0.005 (5k),100,1000,287,206,192,0.9320388349514563,0.6689895470383276
GAD dt=0.005 (5k),100,1500,287,206,202,0.9805825242718447,0.7038327526132404
GAD dt=0.005 (5k),100,2000,287,206,204,0.9902912621359223,0.710801393728223
GAD dt=0.005 (5k),100,3000,287,206,204,0.9902912621359223,0.710801393728223
GAD dt=0.005 (5k),100,5000,287,206,206,1.0,0.7177700348432056
GAD dt=0.005 (5k),150,10,287,164,0,0.0,0.0
GAD dt=0.005 (5k),150,30,287,164,0,0.0,0.0
GAD dt=0.005 (5k),150,50,287,164,0,0.0,0.0
GAD dt=0.005 (5k),150,75,287,164,0,0.0,0.0
GAD dt=0.005 (5k),150,100,287,164,0,0.0,0.0
GAD dt=0.005 (5k),150,150,287,164,0,0.0,0.0
GAD dt=0.005 (5k),150,200,287,164,0,0.0,0.0
GAD dt=0.005 (5k),150,300,287,164,7,0.042682926829268296,0.024390243902439025
GAD dt=0.005 (5k),150,400,287,164,23,0.1402439024390244,0.08013937282229965
GAD dt=0.005 (5k),150,500,287,164,53,0.3231707317073171,0.18466898954703834
GAD dt=0.005 (5k),150,700,287,164,101,0.6158536585365854,0.3519163763066202
GAD dt=0.005 (5k),150,1000,287,164,141,0.8597560975609756,0.4912891986062718
GAD dt=0.005 (5k),150,1500,287,164,155,0.9451219512195121,0.5400696864111498
GAD dt=0.005 (5k),150,2000,287,164,156,0.9512195121951219,0.5435540069686411
GAD dt=0.005 (5k),150,3000,287,164,159,0.9695121951219512,0.554006968641115
GAD dt=0.005 (5k),150,5000,287,164,164,1.0,0.5714285714285714
GAD dt=0.005 (5k),200,10,287,124,0,0.0,0.0
GAD dt=0.005 (5k),200,30,287,124,0,0.0,0.0
GAD dt=0.005 (5k),200,50,287,124,0,0.0,0.0
GAD dt=0.005 (5k),200,75,287,124,0,0.0,0.0
GAD dt=0.005 (5k),200,100,287,124,0,0.0,0.0
GAD dt=0.005 (5k),200,150,287,124,0,0.0,0.0
GAD dt=0.005 (5k),200,200,287,124,0,0.0,0.0
GAD dt=0.005 (5k),200,300,287,124,3,0.024193548387096774,0.010452961672473868
GAD dt=0.005 (5k),200,400,287,124,11,0.08870967741935484,0.03832752613240418
GAD dt=0.005 (5k),200,500,287,124,24,0.1935483870967742,0.08362369337979095
GAD dt=0.005 (5k),200,700,287,124,57,0.4596774193548387,0.1986062717770035
GAD dt=0.005 (5k),200,1000,287,124,91,0.7338709677419355,0.3170731707317073
GAD dt=0.005 (5k),200,1500,287,124,107,0.8629032258064516,0.37282229965156793
GAD dt=0.005 (5k),200,2000,287,124,110,0.8870967741935484,0.3832752613240418
GAD dt=0.005 (5k),200,3000,287,124,117,0.9435483870967742,0.4076655052264808
GAD dt=0.005 (5k),200,5000,287,124,124,1.0,0.43205574912891986
GAD dt=0.007 (5k),10,10,287,256,0,0.0,0.0
GAD dt=0.007 (5k),10,30,287,256,1,0.00390625,0.003484320557491289
GAD dt=0.007 (5k),10,50,287,256,44,0.171875,0.15331010452961671
GAD dt=0.007 (5k),10,75,287,256,148,0.578125,0.5156794425087108
GAD dt=0.007 (5k),10,100,287,256,193,0.75390625,0.6724738675958188
GAD dt=0.007 (5k),10,150,287,256,217,0.84765625,0.7560975609756098
GAD dt=0.007 (5k),10,200,287,256,227,0.88671875,0.7909407665505227
GAD dt=0.007 (5k),10,300,287,256,236,0.921875,0.8222996515679443
GAD dt=0.007 (5k),10,400,287,256,244,0.953125,0.8501742160278746
GAD dt=0.007 (5k),10,500,287,256,249,0.97265625,0.867595818815331
GAD dt=0.007 (5k),10,700,287,256,251,0.98046875,0.8745644599303136
GAD dt=0.007 (5k),10,1000,287,256,252,0.984375,0.8780487804878049
GAD dt=0.007 (5k),10,1500,287,256,254,0.9921875,0.8850174216027874
GAD dt=0.007 (5k),10,2000,287,256,255,0.99609375,0.8885017421602788
GAD dt=0.007 (5k),10,3000,287,256,256,1.0,0.89198606271777
GAD dt=0.007 (5k),10,5000,287,256,256,1.0,0.89198606271777
GAD dt=0.007 (5k),30,10,287,255,0,0.0,0.0
GAD dt=0.007 (5k),30,30,287,255,0,0.0,0.0
GAD dt=0.007 (5k),30,50,287,255,1,0.00392156862745098,0.003484320557491289
GAD dt=0.007 (5k),30,75,287,255,5,0.0196078431372549,0.017421602787456445
GAD dt=0.007 (5k),30,100,287,255,42,0.16470588235294117,0.14634146341463414
GAD dt=0.007 (5k),30,150,287,255,138,0.5411764705882353,0.4808362369337979
GAD dt=0.007 (5k),30,200,287,255,189,0.7411764705882353,0.6585365853658537
GAD dt=0.007 (5k),30,300,287,255,225,0.8823529411764706,0.7839721254355401
GAD dt=0.007 (5k),30,400,287,255,241,0.9450980392156862,0.8397212543554007
GAD dt=0.007 (5k),30,500,287,255,247,0.9686274509803922,0.8606271777003485
GAD dt=0.007 (5k),30,700,287,255,251,0.984313725490196,0.8745644599303136
GAD dt=0.007 (5k),30,1000,287,255,251,0.984313725490196,0.8745644599303136
GAD dt=0.007 (5k),30,1500,287,255,252,0.9882352941176471,0.8780487804878049
GAD dt=0.007 (5k),30,2000,287,255,254,0.996078431372549,0.8850174216027874
GAD dt=0.007 (5k),30,3000,287,255,255,1.0,0.8885017421602788
GAD dt=0.007 (5k),30,5000,287,255,255,1.0,0.8885017421602788
GAD dt=0.007 (5k),50,10,287,247,0,0.0,0.0
GAD dt=0.007 (5k),50,30,287,247,0,0.0,0.0
GAD dt=0.007 (5k),50,50,287,247,0,0.0,0.0
GAD dt=0.007 (5k),50,75,287,247,1,0.004048582995951417,0.003484320557491289
GAD dt=0.007 (5k),50,100,287,247,4,0.016194331983805668,0.013937282229965157
GAD dt=0.007 (5k),50,150,287,247,50,0.20242914979757085,0.17421602787456447
GAD dt=0.007 (5k),50,200,287,247,126,0.5101214574898786,0.43902439024390244
GAD dt=0.007 (5k),50,300,287,247,194,0.7854251012145749,0.6759581881533101
GAD dt=0.007 (5k),50,400,287,247,221,0.8947368421052632,0.7700348432055749
GAD dt=0.007 (5k),50,500,287,247,235,0.951417004048583,0.818815331010453
GAD dt=0.007 (5k),50,700,287,247,240,0.97165991902834,0.8362369337979094
GAD dt=0.007 (5k),50,1000,287,247,244,0.9878542510121457,0.8501742160278746
GAD dt=0.007 (5k),50,1500,287,247,244,0.9878542510121457,0.8501742160278746
GAD dt=0.007 (5k),50,2000,287,247,245,0.9919028340080972,0.8536585365853658
GAD dt=0.007 (5k),50,3000,287,247,247,1.0,0.8606271777003485
GAD dt=0.007 (5k),50,5000,287,247,247,1.0,0.8606271777003485
GAD dt=0.007 (5k),100,10,287,209,0,0.0,0.0
GAD dt=0.007 (5k),100,30,287,209,0,0.0,0.0
GAD dt=0.007 (5k),100,50,287,209,0,0.0,0.0
GAD dt=0.007 (5k),100,75,287,209,0,0.0,0.0
GAD dt=0.007 (5k),100,100,287,209,1,0.004784688995215311,0.003484320557491289
GAD dt=0.007 (5k),100,150,287,209,6,0.028708133971291867,0.020905923344947737
GAD dt=0.007 (5k),100,200,287,209,26,0.12440191387559808,0.09059233449477352
GAD dt=0.007 (5k),100,300,287,209,83,0.39712918660287083,0.289198606271777
GAD dt=0.007 (5k),100,400,287,209,143,0.6842105263157895,0.49825783972125437
GAD dt=0.007 (5k),100,500,287,209,170,0.8133971291866029,0.5923344947735192
GAD dt=0.007 (5k),100,700,287,209,192,0.9186602870813397,0.6689895470383276
GAD dt=0.007 (5k),100,1000,287,209,202,0.9665071770334929,0.7038327526132404
GAD dt=0.007 (5k),100,1500,287,209,205,0.9808612440191388,0.7142857142857143
