wall_s_center,bin,fmax_med,fmax_p25,fmax_p75,n_samples_in_bin,method,noise_pm
0.10715616606015754,0,0.8208174109458923,0.7777354717254639,0.8827022314071655,3.0,GAD dt=0.003 (5k),10
0.12304146679728924,1,0.832133561372757,0.690501943230629,1.0318618416786194,280.0,GAD dt=0.003 (5k),10
0.1412816742914194,2,0.7274941802024841,0.6599282324314117,0.8713231384754181,3.0,GAD dt=0.003 (5k),10
0.16222589026406567,3,0.4463762640953064,0.4115312993526459,0.4812212288379669,2.0,GAD dt=0.003 (5k),10
0.1862749688093626,4,0.5996360182762146,0.4825822710990906,0.7188842296600342,281.0,GAD dt=0.003 (5k),10
0.21388918839309942,5,0.49462318420410156,0.46203961968421936,0.5943186581134796,3.0,GAD dt=0.003 (5k),10
0.24559706118259372,6,0.4596458375453949,0.37265564501285553,0.5426329970359802,283.0,GAD dt=0.003 (5k),10
0.28200544831032087,7,0.3693161606788635,0.3093275874853134,0.44118721783161163,63.0,GAD dt=0.003 (5k),10
0.32381117466865444,8,0.3664824366569519,0.3014799952507019,0.4193013906478882,225.0,GAD dt=0.003 (5k),10
0.3718143655327966,9,0.29435476660728455,0.24745586514472961,0.3449344336986542,285.0,GAD dt=0.003 (5k),10
0.42693376026327295,10,0.24739333987236023,0.20987768471240997,0.29073044657707214,284.0,GAD dt=0.003 (5k),10
0.4902242961789493,11,0.2122449278831482,0.1817752718925476,0.251266747713089,285.0,GAD dt=0.003 (5k),10
0.5628972991406223,12,0.18785053491592407,0.1593681126832962,0.22170278429985046,285.0,GAD dt=0.003 (5k),10
0.6463436672754064,13,0.15299011766910553,0.12780404835939407,0.18228032439947128,283.0,GAD dt=0.003 (5k),10
0.7421604915582602,14,0.1389397531747818,0.1120259091258049,0.1646220199763775,284.0,GAD dt=0.003 (5k),10
0.852181622745446,15,0.1203269474208355,0.09949433617293835,0.14113834872841835,286.0,GAD dt=0.003 (5k),10
0.9785127696844709,16,0.10351549088954926,0.08621363341808319,0.1220163032412529,285.0,GAD dt=0.003 (5k),10
1.1235718007516622,17,0.08855267986655235,0.0748747531324625,0.1058171596378088,286.0,GAD dt=0.003 (5k),10
1.290135019751871,18,0.07805759832262993,0.06539513543248177,0.09204171039164066,286.0,GAD dt=0.003 (5k),10
1.4813903019608143,19,0.06897672638297081,0.056772383861243725,0.08080840297043324,286.0,GAD dt=0.003 (5k),10
1.7009981072877314,20,0.05992721579968929,0.04819162003695965,0.07006332650780678,286.0,GAD dt=0.003 (5k),10
1.953161538297272,21,0.051173362880945206,0.04228603281080723,0.06258373707532883,287.0,GAD dt=0.003 (5k),10
2.242706783940277,22,0.04374580830335617,0.037833210080862045,0.05502127297222614,287.0,GAD dt=0.003 (5k),10
2.575175488616556,23,0.038859181106090546,0.031771643087267876,0.04880199395120144,287.0,GAD dt=0.003 (5k),10
2.9569308144332584,24,0.03363984823226929,0.02748268935829401,0.04173923842608929,287.0,GAD dt=0.003 (5k),10
