n,fmax_005,fmax_023,fmax_010,fmax_005t,fmax_001,config,noise_pm,from_log
287,95.47038327526133,91.98606271777004,85.71428571428571,0.0,0.0,GAD dt=0.005 ×10k,50,
66,100.0,98.48484848484848,90.9090909090909,77.27272727272727,0.0,Sella libdef ×10k,50,True
72,97.22222222222223,94.44444444444444,79.16666666666667,47.22222222222222,0.0,Hybrid damped ×10k,50,True
