method,noise_pm,n_total,rmsd_threshold,cutoff_scale,rmsd_intended_pct,topo_intended_pct
GAD dt=0.003 (5k),150,254,0.3,1.4,35.039370078740156,67.71653543307086
GAD dt=0.003 (5k),150,254,0.4,1.1,37.00787401574803,71.25984251968504
GAD dt=0.003 (5k),150,254,0.4,1.2,37.00787401574803,68.89763779527559
GAD dt=0.003 (5k),150,254,0.4,1.3,37.00787401574803,70.07874015748031
GAD dt=0.003 (5k),150,254,0.4,1.4,37.00787401574803,67.71653543307086
GAD dt=0.003 (5k),150,254,0.5,1.1,43.30708661417323,71.25984251968504
GAD dt=0.003 (5k),150,254,0.5,1.2,43.30708661417323,68.89763779527559
GAD dt=0.003 (5k),150,254,0.5,1.3,43.30708661417323,70.07874015748031
GAD dt=0.003 (5k),150,254,0.5,1.4,43.30708661417323,67.71653543307086
GAD dt=0.003 (5k),150,254,0.7,1.1,48.031496062992126,71.25984251968504
GAD dt=0.003 (5k),150,254,0.7,1.2,48.031496062992126,68.89763779527559
GAD dt=0.003 (5k),150,254,0.7,1.3,48.031496062992126,70.07874015748031
GAD dt=0.003 (5k),150,254,0.7,1.4,48.031496062992126,67.71653543307086
GAD dt=0.003 (5k),200,236,0.3,1.1,26.271186440677965,55.932203389830505
GAD dt=0.003 (5k),200,236,0.3,1.2,26.271186440677965,54.23728813559322
GAD dt=0.003 (5k),200,236,0.3,1.3,26.271186440677965,55.50847457627118
GAD dt=0.003 (5k),200,236,0.3,1.4,26.271186440677965,54.66101694915254
GAD dt=0.003 (5k),200,236,0.4,1.1,27.54237288135593,55.932203389830505
GAD dt=0.003 (5k),200,236,0.4,1.2,27.54237288135593,54.23728813559322
GAD dt=0.003 (5k),200,236,0.4,1.3,27.54237288135593,55.50847457627118
GAD dt=0.003 (5k),200,236,0.4,1.4,27.54237288135593,54.66101694915254
GAD dt=0.003 (5k),200,236,0.5,1.1,33.05084745762712,55.932203389830505
GAD dt=0.003 (5k),200,236,0.5,1.2,33.05084745762712,54.23728813559322
GAD dt=0.003 (5k),200,236,0.5,1.3,33.05084745762712,55.50847457627118
GAD dt=0.003 (5k),200,236,0.5,1.4,33.05084745762712,54.66101694915254
GAD dt=0.003 (5k),200,236,0.7,1.1,37.28813559322034,55.932203389830505
GAD dt=0.003 (5k),200,236,0.7,1.2,37.28813559322034,54.23728813559322
GAD dt=0.003 (5k),200,236,0.7,1.3,37.28813559322034,55.50847457627118
GAD dt=0.003 (5k),200,236,0.7,1.4,37.28813559322034,54.66101694915254
GAD dt=0.005 (5k),10,282,0.3,1.1,47.163120567375884,93.26241134751773
GAD dt=0.005 (5k),10,282,0.3,1.2,47.163120567375884,90.42553191489361
GAD dt=0.005 (5k),10,282,0.3,1.3,47.163120567375884,91.84397163120568
GAD dt=0.005 (5k),10,282,0.3,1.4,47.163120567375884,89.36170212765957
GAD dt=0.005 (5k),10,282,0.4,1.1,50.0,93.26241134751773
GAD dt=0.005 (5k),10,282,0.4,1.2,50.0,90.42553191489361
GAD dt=0.005 (5k),10,282,0.4,1.3,50.0,91.84397163120568
GAD dt=0.005 (5k),10,282,0.4,1.4,50.0,89.36170212765957
GAD dt=0.005 (5k),10,282,0.5,1.1,58.51063829787234,93.26241134751773
GAD dt=0.005 (5k),10,282,0.5,1.2,58.51063829787234,90.42553191489361
GAD dt=0.005 (5k),10,282,0.5,1.3,58.51063829787234,91.84397163120568
GAD dt=0.005 (5k),10,282,0.5,1.4,58.51063829787234,89.36170212765957
GAD dt=0.005 (5k),10,282,0.7,1.1,63.829787234042556,93.26241134751773
GAD dt=0.005 (5k),10,282,0.7,1.2,63.829787234042556,90.42553191489361
GAD dt=0.005 (5k),10,282,0.7,1.3,63.829787234042556,91.84397163120568
GAD dt=0.005 (5k),10,282,0.7,1.4,63.829787234042556,89.36170212765957
GAD dt=0.005 (5k),30,282,0.3,1.1,47.5177304964539,93.61702127659575
GAD dt=0.005 (5k),30,282,0.3,1.2,47.5177304964539,90.78014184397163
GAD dt=0.005 (5k),30,282,0.3,1.3,47.5177304964539,92.19858156028369
GAD dt=0.005 (5k),30,282,0.3,1.4,47.5177304964539,89.71631205673759
GAD dt=0.005 (5k),30,282,0.4,1.1,50.0,93.61702127659575
GAD dt=0.005 (5k),30,282,0.4,1.2,50.0,90.78014184397163
GAD dt=0.005 (5k),30,282,0.4,1.3,50.0,92.19858156028369
GAD dt=0.005 (5k),30,282,0.4,1.4,50.0,89.71631205673759
GAD dt=0.005 (5k),30,282,0.5,1.1,58.51063829787234,93.61702127659575
GAD dt=0.005 (5k),30,282,0.5,1.2,58.51063829787234,90.78014184397163
GAD dt=0.005 (5k),30,282,0.5,1.3,58.51063829787234,92.19858156028369
GAD dt=0.005 (5k),30,282,0.5,1.4,58.51063829787234,89.71631205673759
