sample_id,formula,sella_status,final_fmax,final_n_neg,final_force_norm,total_steps,wall_time_s,converged
46,C3H5NO2,CONV,0.0065,1,0.0031,34,3.1,True
47,C3H5NO2,FAIL,0.032,2,0.0253,2000,173.4,False
48,C3H5NO2,FAIL,10.8923,1,3.4405,2000,174.5,False
49,C3H5NO2,FAIL,0.0109,1,0.0093,2000,174.3,False
50,C3H5NO2,FAIL,2.3626,2,1.1407,2000,173.6,False
51,C3H5NO2,FAIL,0.0341,1,0.0251,2000,174.5,False
52,C3H5NO2,FAIL,7.4019,4,1.9636,2000,179.2,False
53,C3H5NO2,FAIL,10.8408,3,4.4994,2000,175.1,False
54,C3H5NO2,FAIL,0.0461,2,0.0398,2000,173.4,False
55,C3H5NO2,CONV,0.0037,1,0.0024,21,1.9,True
56,C3H5NO2,CONV,0.0044,1,0.0024,60,5.4,True
57,C3H5NO2,CONV,0.0113,1,0.007,1424,124.1,False
58,C3H5NO2,FAIL,4.3291,4,2.7854,2000,174.2,False
59,C3H5NO2,CONV,0.0035,1,0.0022,19,1.8,True
60,C3H5NO2,CONV,0.005,1,0.0027,17,1.6,True
61,C3H5NO2,FAIL,6.8343,3,2.651,2000,173.6,False
62,C3H5NO2,FAIL,6.3129,4,3.908,2000,173.0,False
63,C3H5NO2,FAIL,2.5343,4,1.2384,2000,174.7,False
64,C3H5NO2,FAIL,6.2462,4,3.3609,2000,179.8,False
65,C3H5NO2,CONV,0.0033,1,0.002,16,1.5,True
66,C3H5NO2,FAIL,0.0451,1,0.0301,2000,175.0,False
67,C3H5NO2,FAIL,0.02,1,0.0182,2000,173.7,False
68,C3H5NO2,FAIL,4.5746,1,1.8178,2000,173.0,False
69,C3H5NO2,CONV,0.0065,1,0.0028,35,3.2,True
70,C3H5NO2,CONV,0.0074,1,0.0033,20,1.8,True
71,C3H5NO2,FAIL,10.0838,2,3.8297,2000,177.6,False
72,C3H5NO2,FAIL,0.7909,2,0.4086,2000,174.1,False
73,C3H5NO2,CONV,0.0024,1,0.0013,27,2.6,True
74,C3H5NO2,FAIL,0.2812,4,0.1139,2000,175.9,False
75,C3H5NO2,CONV,0.0055,1,0.0027,22,2.0,True
76,C3H5NO2,FAIL,7.9546,3,2.4746,2000,174.6,False
77,C3H5NO2,CONV,0.0053,1,0.0032,32,2.9,True
78,C3H5NO2,CONV,0.0063,1,0.0024,15,1.4,True
79,C3H5NO2,FAIL,2.5252,3,0.6573,2000,180.3,False
80,C3H5NO2,FAIL,0.0558,2,0.0255,2000,175.8,False
81,C3H5NO2,FAIL,0.0225,1,0.0174,2000,175.9,False
82,C3H5NO2,CONV,0.0022,1,0.0018,21,2.0,True
83,C3H5NO2,CONV,0.0052,1,0.0036,27,2.5,True
84,C3H5NO2,FAIL,4.7846,2,2.1307,2000,174.8,False
85,C3H5NO2,CONV,0.0049,1,0.0031,29,2.7,True
86,C3H5NO2,FAIL,3.5247,2,1.8912,2000,176.7,False
87,C3H5NO2,CONV,0.007,1,0.0056,26,2.4,True
88,C3H5NO2,FAIL,6.4272,4,3.3879,2000,175.7,False
89,C3H5NO2,CONV,0.0036,1,0.0019,24,2.3,True
90,C3H5NO2,FAIL,0.0112,1,0.0075,2000,175.2,False
91,C3H5NO2,FAIL,8.9103,7,4.699,2000,178.8,False
92,C3H5NO2,FAIL,0.2501,2,0.0855,2000,182.4,False
93,C3H5NO2,CONV,0.0028,1,0.0021,23,2.1,True
94,C3H5NO2,CONV,0.0049,1,0.0025,15,1.4,True
95,C3H5NO2,FAIL,4.182,3,2.2383,2000,3.3,False
96,C3H5NO2,CONV,0.0025,1,0.0017,18,1.7,True
97,C3H5NO2,FAIL,8.0504,4,3.8581,2000,171.5,False
98,C3H5NO2,CONV,0.0071,1,0.0032,34,3.0,True
99,C3H5NO2,FAIL,0.0743,1,0.0559,2000,175.7,False
100,C3H5NO2,FAIL,0.0562,3,0.0307,2000,175.3,False
101,C3H5NO2,FAIL,0.0096,1,0.0069,2000,175.7,False
102,C3H5NO2,FAIL,4.1233,5,2.3914,2000,175.3,False
103,C3H5NO2,CONV,0.0052,1,0.0028,26,2.4,True
104,C3H5NO2,FAIL,0.7352,3,0.3928,2000,176.0,False
105,C3H5NO2,CONV,0.0067,1,0.0037,38,3.5,True
106,C3H5NO2,FAIL,5.2914,4,2.2726,2000,174.0,False
107,C3H5NO2,FAIL,5.4208,3,2.2147,2000,177.4,False
108,C3H5NO2,FAIL,3.0673,4,1.2138,2000,175.3,False
109,C3H5NO2,FAIL,0.0323,2,0.0275,2000,175.1,False
110,C3H5NO2,FAIL,1.1352,2,0.3057,2000,182.4,False
111,C3H5NO2,CONV,0.0014,1,0.0007,82,7.4,True
112,C3H5NO2,FAIL,6.0136,0,3.205,2000,167.7,False
113,C3H5NO2,FAIL,0.1028,3,0.0468,2000,177.8,False
114,C3H5NO2,FAIL,8.068,3,2.1883,2000,178.9,False
115,C3H5NO2,FAIL,4.705,3,1.8581,2000,174.9,False
116,C3H5NO2,FAIL,1.2034,2,0.3342,2000,175.2,False
117,C3H5NO2,CONV,0.0074,1,0.0024,26,2.4,True
118,C3H5NO2,FAIL,4.7433,3,1.6593,2000,175.2,False
119,C3H5NO2,FAIL,4.2595,5,2.4749,2000,174.0,False
120,C3H5NO2,FAIL,1.5143,3,0.6475,2000,176.4,False
121,C3H5NO2,FAIL,10.5263,4,4.621,2000,175.7,False
122,C3H5NO2,FAIL,0.0296,1,0.0064,2000,180.2,False
123,C3H5NO2,FAIL,5.6251,3,2.7153,2000,173.5,False
124,C3H5NO2,FAIL,0.5051,1,0.2432,2000,175.5,False
125,C3H5NO2,FAIL,0.0767,1,0.0163,2000,180.1,False
126,C3H5NO2,FAIL,0.0509,1,0.0296,2000,175.0,False
127,C3H5NO2,FAIL,0.014,1,0.0093,2000,175.3,False
128,C3H5NO2,FAIL,6.0771,3,3.2498,2000,6.8,False
129,C3H5NO2,FAIL,0.8589,3,0.2473,2000,178.7,False
130,C3H5NO2,FAIL,0.8034,2,0.346,2000,174.4,False
131,C3H5NO2,FAIL,0.0426,3,0.0257,2000,176.6,False
132,C3H5NO2,CONV,0.0032,1,0.0023,17,1.6,True
133,C3H5NO2,FAIL,0.0163,2,0.013,2000,171.3,False
134,C3H5NO2,FAIL,5.5866,5,1.8557,2000,174.9,False
135,C3H5NO2,CONV,0.0088,2,0.0068,1268,111.4,False
136,C3H5NO2,CONV,0.0083,1,0.0036,19,1.8,True
137,C3H5NO2,FAIL,9.087,2,2.9544,2000,175.7,False
138,C3H5NO2,CONV,0.0108,1,0.0046,23,2.5,False
139,C3H5NO2,FAIL,0.0177,1,0.0136,2000,175.6,False
140,C3H5NO2,FAIL,0.0472,1,0.0271,2000,177.7,False
141,C3H5NO2,FAIL,7.9505,2,1.8062,2000,179.2,False
142,C3H5NO2,CONV,0.0033,1,0.0024,19,1.8,True
143,C3H5NO2,FAIL,3.9902,3,2.1955,2000,179.8,False
144,C3H5NO2,FAIL,0.0201,1,0.0211,2000,176.0,False
145,C3H5NO2,FAIL,0.01,1,0.0087,2000,175.8,False
146,C3H5NO2,FAIL,15.0673,2,3.9993,2000,177.9,False
147,C3H5NO2,FAIL,6.38,3,2.4829,2000,176.9,False
148,C3H5NO2,CONV,0.0038,1,0.0023,24,2.2,True
149,C3H5NO2,FAIL,2.3719,2,0.9565,2000,174.2,False
150,C3H5NO2,FAIL,5.0625,4,3.3046,2000,174.5,False
151,C3H5NO2,CONV,0.0058,1,0.0043,31,2.8,True
152,C3H5NO2,CONV,0.0025,1,0.0014,27,2.5,True
153,C3H5NO2,FAIL,3.9727,3,2.5338,2000,3.8,False
154,C3H5NO2,FAIL,0.1524,2,0.1035,2000,181.9,False
155,C3H5NO2,FAIL,1.7233,4,0.5291,2000,176.7,False
156,C3H5NO2,FAIL,3.7381,3,1.0883,2000,175.6,False
157,C3H5NO2,CONV,0.0082,1,0.0051,22,2.1,True
158,C3H5NO2,FAIL,3.2721,5,1.6278,2000,177.1,False
159,C3H5NO2,CONV,0.0062,1,0.0027,22,2.0,True
160,C3H5NO2,FAIL,1.1206,5,0.2852,2000,175.8,False
161,C3H5NO2,FAIL,4.805,2,1.2278,2000,176.6,False
162,C3H5NO2,CONV,0.0073,1,0.0042,21,2.0,True
163,C3H5NO2,FAIL,0.0458,1,0.0436,2000,176.6,False
164,C3H5NO2,FAIL,8.9115,3,2.4337,2000,176.0,False
165,C3H5NO2,CONV,0.0031,1,0.0024,17,1.6,True
166,C3H5NO2,CONV,0.0039,1,0.0023,20,1.9,True
167,C3H5NO2,FAIL,4.8079,5,2.2108,2000,175.6,False
168,C3H5NO2,CONV,0.0082,1,0.0053,27,2.5,True
169,C3H5NO2,FAIL,0.0132,1,0.0065,2000,175.1,False
170,C3H5NO2,FAIL,0.0086,1,0.0092,2000,175.2,False
171,C3H5NO2,FAIL,0.0514,2,0.0245,2000,175.3,False
172,C3H5NO2,FAIL,4.4231,3,1.8645,2000,169.7,False
173,C3H5NO2,FAIL,10.6916,6,3.0996,2000,179.3,False
174,C3H5NO2,FAIL,0.0095,1,0.0087,2000,176.3,False
175,C3H5NO2,CONV,0.0072,1,0.0043,48,4.4,True
176,C3H5NO2,FAIL,0.7909,3,0.2593,2000,169.7,False
177,C3H5NO2,FAIL,0.0186,1,0.0138,2000,180.1,False
178,C3H8N2O,CONV,0.0059,2,0.0041,35,3.8,False
179,C3H8N2O,FAIL,5.8159,3,1.2516,2000,191.5,False
180,C3H8N2O,FAIL,5.0497,3,1.2801,2000,192.2,False
181,C3H8N2O,FAIL,4.6893,3,1.3085,2000,190.6,False
182,C3H8N2O,FAIL,6.2637,3,1.6435,2000,191.9,False
183,C3H8N2O,FAIL,9.4766,5,3.0793,2000,189.8,False
184,C3H8N2O,FAIL,2.8478,3,0.9288,2000,2.5,False
185,C3H8N2O,CONV,0.0062,1,0.0015,16,1.7,True
186,C3HNO2,CONV,0.0074,1,0.0056,17,1.5,True
187,C3HNO2,CONV,0.0048,1,0.0045,21,1.8,True
188,C3HNO2,FAIL,0.0362,2,0.0193,2000,169.1,False
189,C3HNO2,FAIL,3.6682,4,1.9926,2000,164.3,False
190,C5H5NO,FAIL,0.1438,1,0.0506,2000,193.1,False
191,C5H5NO,FAIL,0.1718,1,0.1134,2000,189.9,False
192,C5H5NO,FAIL,0.1689,1,0.0675,2000,192.0,False
193,C5H5NO,FAIL,0.1166,1,0.0458,2000,189.4,False
194,C5H5NO,FAIL,4.4835,3,1.1525,2000,188.2,False
195,C5H5NO,CONV,0.0081,1,0.0042,32,3.1,True
196,C5H5NO,FAIL,1.1284,1,0.5815,2000,191.8,False
197,C5H5NO,FAIL,6.9226,3,2.1345,2000,187.7,False
198,C5H5NO,FAIL,2.7021,3,1.9738,2000,190.1,False
199,C5H5NO,FAIL,1.9484,5,0.9884,2000,189.2,False
200,C5H5NO,FAIL,0.178,1,0.0544,2000,191.2,False
201,C5H5NO,FAIL,4.9385,7,3.2779,2000,186.4,False
202,C5H5NO,FAIL,0.0416,1,0.0101,2000,189.5,False
203,C5H5NO,FAIL,0.0598,1,0.0535,2000,185.5,False
204,C5H5NO,FAIL,1.4888,1,0.602,2000,186.0,False
205,C5H5NO,FAIL,4.8315,4,2.4595,2000,186.7,False
206,C5H5NO,FAIL,1.8831,1,1.3838,2000,184.8,False
207,C5H5NO,FAIL,6.5908,4,2.548,2000,187.1,False
208,C5H5NO,FAIL,0.6407,1,0.2542,2000,187.4,False
209,C5H5NO,FAIL,0.1433,1,0.0448,2000,193.6,False
210,C5H5NO,CONV,0.0076,1,0.0041,29,2.9,True
211,C5H5NO,FAIL,0.0952,0,0.0279,2000,195.8,False
212,C5H5NO,FAIL,6.4292,1,2.2694,2000,195.3,False
213,C5H5NO,FAIL,1.6259,1,0.5201,2000,193.4,False
214,C5H5NO,FAIL,0.0715,1,0.0179,2000,227.5,False
215,C5H5NO,FAIL,0.3621,1,0.1219,2000,787.8,False
216,C5H5NO,FAIL,0.0541,1,0.0113,2000,258.3,False
217,C5H5NO,FAIL,0.1113,1,0.0426,2000,204.5,False
218,C5H5NO,FAIL,5.2472,4,2.5252,2000,188.6,False
219,C5H5NO,CONV,0.0034,1,0.0016,27,2.6,True
220,C5H5NO,FAIL,6.0119,1,3.0033,2000,773.7,False
221,C5H5NO,FAIL,1.3113,1,0.6315,2000,281.8,False
