sample_id,formula,sella_status,final_fmax,final_n_neg,final_force_norm,total_steps,wall_time_s,converged
0,C2H3N3O2,FAIL,9.9005,3,2.9712,2000,181.3,False
1,C2H3N3O2,FAIL,4.9289,3,2.4126,2000,171.2,False
2,C2H3N3O2,CONV,0.0029,1,0.0021,72,6.4,True
3,C2H3N3O2,CONV,0.0032,1,0.0022,41,3.7,True
4,C2H3N3O2,FAIL,7.7913,3,3.0495,2000,172.6,False
5,C2H5NO2,CONV,0.008,1,0.0043,39,3.5,True
6,C2H5NO2,CONV,0.0017,1,0.001,23,2.1,True
7,C2H5NO2,FAIL,8.5403,5,2.2624,2000,172.9,False
8,C2H5NO2,FAIL,2.0231,1,1.0698,2000,2.8,False
9,C2H5NO2,CONV,0.0096,1,0.0027,26,2.4,True
10,C2H5NO2,FAIL,3.7878,2,2.5819,2000,168.7,False
11,C2HNO,FAIL,0.2365,1,0.167,2000,162.8,False
12,C2HNO,FAIL,0.0528,1,0.0453,2000,157.8,False
13,C2HNO,CONV,0.0047,1,0.004,15,1.3,True
14,C2HNO,FAIL,1.2444,1,0.9624,2000,158.3,False
15,C2HNO3,FAIL,0.6726,2,0.4401,2000,166.6,False
16,C3H5NO2,FAIL,1.8721,3,0.5967,2000,175.4,False
17,C3H5NO2,FAIL,1.8786,2,1.0219,2000,172.2,False
18,C3H5NO2,FAIL,0.0498,2,0.0217,2000,175.5,False
19,C3H5NO2,FAIL,0.1604,4,0.0864,2000,174.2,False
20,C3H5NO2,FAIL,0.0279,1,0.008,2000,177.9,False
21,C3H5NO2,FAIL,5.6859,1,2.5328,2000,175.5,False
22,C3H5NO2,CONV,0.0066,1,0.004,31,2.8,True
23,C3H5NO2,CONV,0.0063,1,0.0047,19,1.8,True
24,C3H5NO2,CONV,0.0066,1,0.0033,19,1.7,True
25,C3H5NO2,CONV,0.0096,1,0.0042,19,1.7,True
26,C3H5NO2,CONV,0.0096,1,0.007,998,86.2,True
27,C3H5NO2,CONV,0.0057,1,0.0034,38,3.4,True
28,C3H5NO2,FAIL,0.7521,3,0.4899,2000,14.9,False
29,C3H5NO2,CONV,0.0046,1,0.0019,22,2.1,True
30,C3H5NO2,CONV,0.004,1,0.0034,23,2.2,True
31,C3H5NO2,CONV,0.0069,1,0.0041,17,1.6,True
32,C3H5NO2,FAIL,6.8682,3,1.7466,2000,174.0,False
33,C3H5NO2,FAIL,0.012,1,0.0088,2000,174.7,False
34,C3H5NO2,CONV,0.006,1,0.0033,43,4.0,True
35,C3H5NO2,FAIL,0.0411,2,0.0394,2000,173.8,False
36,C3H5NO2,FAIL,6.2376,4,2.4229,2000,165.6,False
37,C3H5NO2,FAIL,6.049,4,1.4748,2000,175.1,False
38,C3H5NO2,CONV,0.0072,1,0.004,22,2.1,True
39,C3H5NO2,CONV,0.0098,1,0.0057,34,3.1,True
40,C3H5NO2,FAIL,5.827,3,1.9073,2000,177.8,False
41,C3H5NO2,FAIL,1.9906,2,1.0165,2000,175.1,False
42,C3H5NO2,FAIL,3.3778,5,1.6149,2000,3.4,False
43,C3H5NO2,CONV,0.0086,1,0.0048,20,1.8,True
44,C3H5NO2,CONV,0.0052,1,0.0025,21,1.9,True
45,C3H5NO2,CONV,0.0072,1,0.0037,34,3.1,True
