phase,n_steps,avg_fmax,avg_abs_eig1,p10_abs_eig1,p50_abs_eig1,p90_abs_eig1,avg_disp_step,med_disp_step,avg_v1_overlap,avg_continuity,method,noise_pm
above_basin,16853,0.0323,0.0477,0.0141,0.0417,0.0733,8e-05,3e-05,0.3794,1.0,GAD dt=0.005,10
descent_curved,11320,0.0929,0.031,0.011,0.0237,0.0611,0.00029,0.00013,0.1375,1.0,GAD dt=0.005,10
tightening_safe,66423,0.0176,0.1719,0.1149,0.1503,0.2135,1e-05,0.0,0.106,1.0,GAD dt=0.005,10
tightening_ill,102448,0.0225,0.0364,0.0083,0.031,0.0721,3e-05,1e-05,0.1867,1.0,GAD dt=0.005,10
converged,254,0.0098,0.0823,0.0154,0.0519,0.1753,3e-05,3e-05,0.271,1.0,GAD dt=0.005,30
descent_smooth,3767,0.2245,0.2069,0.1068,0.1683,0.3262,0.00089,0.00034,0.1813,0.9999,GAD dt=0.005,30
above_basin,21916,0.1513,0.0726,0.0141,0.0491,0.1316,0.00031,4e-05,0.3494,0.9995,GAD dt=0.005,30
descent_curved,18701,0.1661,0.0368,0.0112,0.026,0.0748,0.00052,0.0002,0.1253,0.9999,GAD dt=0.005,30
tightening_safe,69926,0.018,0.1723,0.1148,0.1506,0.2548,2e-05,1e-05,0.1214,1.0,GAD dt=0.005,30
tightening_ill,119735,0.0221,0.038,0.0085,0.0348,0.0723,3e-05,2e-05,0.1923,1.0,GAD dt=0.005,30
converged,410,0.0098,0.0831,0.0169,0.0526,0.1748,3e-05,3e-05,0.3202,1.0,GAD dt=0.005,50
descent_smooth,85956,0.7964,0.1907,0.1105,0.1812,0.2502,0.00093,3e-05,0.1002,0.9998,GAD dt=0.005,50
above_basin,267549,0.6759,0.2857,0.0073,0.0567,1.0487,0.00097,0.00014,0.2201,0.989,GAD dt=0.005,50
wrong_basin,11217,0.3211,0.0827,0.0143,0.0327,0.2257,0.0007,0.00075,0.2543,0.9624,GAD dt=0.005,50
tightening_ill,295538,0.0248,0.0372,0.008,0.0333,0.0793,4e-05,3e-05,0.256,1.0,GAD dt=0.005,50
tightening_safe,155898,0.0219,0.1721,0.1085,0.1502,0.3148,2e-05,1e-05,0.1247,1.0,GAD dt=0.005,50
descent_curved,219239,0.25,0.039,0.0089,0.0319,0.0764,0.00039,6e-05,0.124,0.9994,GAD dt=0.005,50
converged,206,0.0098,0.0854,0.0159,0.0538,0.1823,3e-05,3e-05,0.3412,1.0,GAD dt=0.005,100
descent_smooth,51700,1.477,0.1834,0.1162,0.167,0.2722,0.00177,0.00028,0.083,0.9998,GAD dt=0.005,100
above_basin,115245,0.7275,0.1809,0.0068,0.0429,0.6481,0.00087,5e-05,0.1812,0.9785,GAD dt=0.005,100
wrong_basin,5203,0.3761,0.0543,0.0141,0.0203,0.1224,0.00092,0.00085,0.3041,0.9239,GAD dt=0.005,100
tightening_ill,147968,0.0247,0.0412,0.0086,0.0396,0.0848,4e-05,3e-05,0.243,1.0,GAD dt=0.005,100
descent_curved,119699,0.3616,0.0394,0.01,0.0315,0.0783,0.00053,6e-05,0.1153,0.9994,GAD dt=0.005,100
tightening_safe,77896,0.0227,0.181,0.1096,0.1505,0.3421,2e-05,1e-05,0.1273,1.0,GAD dt=0.005,100
converged,164,0.0099,0.0825,0.0176,0.0531,0.1697,3e-05,3e-05,0.3641,1.0,GAD dt=0.005,150
descent_smooth,70054,0.9308,0.1896,0.1104,0.1815,0.272,0.00105,4e-05,0.1039,0.9998,GAD dt=0.005,150
descent_curved,175536,0.2624,0.0396,0.0089,0.034,0.0761,0.00038,5e-05,0.1319,0.9993,GAD dt=0.005,150
tightening_safe,89229,0.0243,0.173,0.1075,0.1507,0.3418,2e-05,1e-05,0.1179,1.0,GAD dt=0.005,150
above_basin,230834,0.7156,0.3127,0.0063,0.0628,1.1263,0.00103,0.00018,0.2185,0.9874,GAD dt=0.005,150
wrong_basin,11217,0.3211,0.0827,0.0143,0.0327,0.2257,0.0007,0.00075,0.2543,0.9624,GAD dt=0.005,150
tightening_ill,166166,0.026,0.0359,0.0074,0.0313,0.0753,4e-05,3e-05,0.296,1.0,GAD dt=0.005,150
converged,124,0.0098,0.0846,0.0148,0.0523,0.1906,3e-05,3e-05,0.386,1.0,GAD dt=0.005,200
descent_smooth,62681,0.8167,0.1982,0.1116,0.153,0.3864,0.00118,0.00018,0.1326,0.9996,GAD dt=0.005,200
tightening_ill,229443,0.0252,0.0421,0.0085,0.0369,0.0805,4e-05,3e-05,0.2619,1.0,GAD dt=0.005,200
descent_curved,181963,0.3444,0.041,0.0075,0.0325,0.0791,0.00053,0.00014,0.2187,0.9987,GAD dt=0.005,200
tightening_safe,61729,0.0269,0.1824,0.1028,0.1462,0.2933,2e-05,1e-05,0.1209,1.0,GAD dt=0.005,200
above_basin,401268,0.8453,0.5023,0.0077,0.0789,2.0071,0.0012,0.00025,0.2216,0.9855,GAD dt=0.005,200
wrong_basin,3479,0.5578,0.1076,0.0155,0.0678,0.2449,0.00111,0.00072,0.296,0.9923,GAD dt=0.005,200
converged,256,0.0097,0.0819,0.0148,0.0517,0.174,4e-05,4e-05,0.2404,1.0,GAD dt=0.007,10
descent_smooth,1068,0.1723,0.1941,0.1068,0.1586,0.31,0.0011,0.00049,0.1454,0.9999,GAD dt=0.007,10
above_basin,20907,0.9836,0.1107,0.0139,0.0553,0.5016,0.00317,6e-05,0.294,0.9551,GAD dt=0.007,10
descent_curved,10341,0.126,0.0307,0.0128,0.0237,0.0589,0.0005,0.00014,0.1102,0.9999,GAD dt=0.007,10
tightening_safe,64522,0.0174,0.1712,0.1149,0.1505,0.203,1e-05,1e-05,0.0906,1.0,GAD dt=0.007,10
tightening_ill,90215,0.0223,0.0371,0.0086,0.032,0.0718,3e-05,1e-05,0.1563,1.0,GAD dt=0.007,10
converged,255,0.0098,0.0822,0.0156,0.0518,0.1742,4e-05,4e-05,0.2708,1.0,GAD dt=0.007,30
descent_smooth,2746,0.2637,0.2057,0.1067,0.1676,0.3207,0.00151,0.0005,0.1767,0.9994,GAD dt=0.007,30
above_basin,25941,0.9018,0.118,0.0141,0.0654,0.4636,0.00283,6e-05,0.2647,0.9627,GAD dt=0.007,30
descent_curved,15026,0.204,0.0355,0.0124,0.0238,0.0739,0.00085,0.00026,0.1088,0.9997,GAD dt=0.007,30
tightening_safe,67102,0.0177,0.1715,0.1148,0.1509,0.2209,2e-05,1e-05,0.1028,1.0,GAD dt=0.007,30
tightening_ill,99448,0.0222,0.0387,0.0087,0.0357,0.0724,3e-05,1e-05,0.1566,1.0,GAD dt=0.007,30
converged,413,0.0098,0.0827,0.0157,0.0524,0.1755,4e-05,4e-05,0.3203,1.0,GAD dt=0.007,50
descent_smooth,88284,0.9964,0.1944,0.1115,0.1823,0.2596,0.00177,3e-05,0.079,0.9997,GAD dt=0.007,50
tightening_ill,258675,0.0248,0.0371,0.0077,0.033,0.0817,5e-05,3e-05,0.2288,1.0,GAD dt=0.007,50
above_basin,261014,0.8397,0.2419,0.0075,0.0514,0.8238,0.00196,0.00014,0.2016,0.9845,GAD dt=0.007,50
wrong_basin,12297,1.3433,0.0586,0.0069,0.0224,0.1665,0.004,0.0012,0.2043,0.9394,GAD dt=0.007,50
descent_curved,197535,0.2478,0.0415,0.0094,0.0324,0.0814,0.00049,4e-05,0.1097,0.9994,GAD dt=0.007,50
tightening_safe,153183,0.0217,0.1714,0.1084,0.1506,0.3179,2e-05,1e-05,0.104,1.0,GAD dt=0.007,50
converged,209,0.0098,0.0855,0.0166,0.0544,0.1793,4e-05,4e-05,0.343,1.0,GAD dt=0.007,100
descent_smooth,48218,1.1384,0.1695,0.1104,0.1666,0.2178,0.00194,0.00012,0.074,0.9997,GAD dt=0.007,100
above_basin,116447,0.8593,0.165,0.0081,0.0504,0.5064,0.00166,7e-05,0.169,0.9718,GAD dt=0.007,100
wrong_basin,4700,0.3686,0.0495,0.0143,0.0192,0.1329,0.0013,0.0012,0.2838,0.9346,GAD dt=0.007,100
tightening_ill,122870,0.0253,0.0419,0.009,0.0397,0.085,4e-05,3e-05,0.2046,1.0,GAD dt=0.007,100
descent_curved,113133,0.3805,0.0398,0.0138,0.0315,0.077,0.00075,6e-05,0.0949,0.9988,GAD dt=0.007,100
tightening_safe,71920,0.0225,0.1844,0.1092,0.157,0.3421,2e-05,1e-05,0.1113,1.0,GAD dt=0.007,100
converged,167,0.0098,0.0815,0.0161,0.0528,0.1684,4e-05,4e-05,0.3618,1.0,GAD dt=0.007,150
descent_smooth,69184,0.9581,0.1918,0.1106,0.1696,0.2675,0.00177,3e-05,0.0835,0.9997,GAD dt=0.007,150
tightening_ill,146324,0.026,0.0352,0.0058,0.0311,0.0753,5e-05,4e-05,0.2713,1.0,GAD dt=0.007,150
descent_curved,159165,0.2573,0.0429,0.0106,0.0348,0.0794,0.00047,4e-05,0.1167,0.9993,GAD dt=0.007,150
tightening_safe,89935,0.0242,0.1723,0.1072,0.151,0.3418,2e-05,1e-05,0.0978,1.0,GAD dt=0.007,150
above_basin,225120,0.865,0.2655,0.006,0.0535,0.9579,0.00193,0.00021,0.1997,0.9864,GAD dt=0.007,150
wrong_basin,12297,1.3433,0.0586,0.0069,0.0224,0.1665,0.004,0.0012,0.2043,0.9394,GAD dt=0.007,150
converged,128,0.0099,0.0797,0.0133,0.0507,0.1667,4e-05,4e-05,0.3785,1.0,GAD dt=0.007,200
descent_smooth,64358,1.1825,0.2179,0.1123,0.1563,0.3863,0.00205,0.00026,0.1004,0.9994,GAD dt=0.007,200
descent_curved,148309,0.3773,0.0417,0.0084,0.0339,0.0785,0.00079,0.0002,0.1966,0.9975,GAD dt=0.007,200
tightening_safe,67696,0.0276,0.1776,0.1026,0.157,0.2886,2e-05,1e-05,0.0923,1.0,GAD dt=0.007,200
tightening_ill,254769,0.0259,0.0427,0.0085,0.0393,0.0817,4e-05,3e-05,0.2136,1.0,GAD dt=0.007,200
above_basin,367128,0.8887,1.1546,0.007,0.0812,2.4128,0.00196,0.00032,0.2086,0.99,GAD dt=0.007,200
wrong_basin,2782,0.4927,0.1178,0.0314,0.0984,0.2426,0.00145,0.00073,0.2004,0.9989,GAD dt=0.007,200
