noise_pm,n,n_conv,f_almost_converged,f_min_basin,f_wrong_saddle,f_high_force
10,287,245.0,34.0,0.0,7.0,1.0
30,287,244.0,34.0,0.0,8.0,1.0
50,287,234.0,33.0,0.0,11.0,9.0
100,287,192.0,32.0,2.0,35.0,26.0
150,287,146.0,25.0,7.0,82.0,27.0
200,287,95.0,34.0,8.0,127.0,23.0
